,sales_amount
1992-01-01,297.35437843817783
1992-02-01,297.9844832900433
1992-03-01,322.35067410496043
1992-04-01,332.2375326398852
1992-05-01,343.3388698639943
1992-06-01,341.07604863668803
1992-07-01,341.7557152740213
1992-08-01,340.78169414772725
1992-09-01,330.4269907016301
1992-10-01,346.4144324770642
1992-11-01,342.86379496129484
1992-12-01,423.14983866479264
1993-01-01,301.9487095238095
1993-02-01,295.69048869322154
1993-03-01,336.0420457083042
1993-04-01,347.10653609179417
1993-05-01,356.8456313037448
1993-06-01,355.38800626472624
1993-07-01,358.43715391003457
1993-08-01,356.388414737569
1993-09-01,345.7162098482758
1993-10-01,354.4367205494505
1993-11-01,366.3720978082192
1993-12-01,443.4728049487354
1994-01-01,312.48341309637726
1994-02-01,313.8966036264485
1994-03-01,371.2952517471108
1994-04-01,365.1276859375
1994-05-01,374.4806069288136
1994-06-01,379.8125975253549
1994-07-01,367.2707939892183
1994-08-01,385.3213910738255
1994-09-01,369.12478103148015
1994-10-01,376.27936018741633
1994-11-01,387.1015927369826
1994-12-01,464.4794711125916
1995-01-01,330.3763903255814
1995-02-01,323.5614381444665
1995-03-01,378.6013906084656
1995-04-01,366.1697075757575
1995-05-01,393.6554275739645
1995-06-01,395.6474394619422
1995-07-01,377.18808370904327
1995-08-01,397.9779713538259
1995-09-01,375.1587420378837
1995-10-01,377.779005446254
1995-11-01,395.97817716330513
1995-12-01,465.2854364652371
1996-01-01,340.4629941305753
1996-02-01,353.1406292
1996-03-01,388.24967064951767
1996-04-01,386.8279166944266
1996-05-01,414.0756697058823
1996-06-01,395.2994359412891
1996-07-01,395.1413887898089
1996-08-01,408.911636259542
1996-09-01,377.9903669245402
1996-10-01,401.6662447661189
1996-11-01,403.7597857971015
1996-12-01,469.7108856568196
1997-01-01,357.472635370138
1997-02-01,351.5891897808391
1997-03-01,401.23449624530656
1997-04-01,392.0664805128205
1997-05-01,416.26719184490304
1997-06-01,403.6525644569288
1997-07-01,409.7509926184538
1997-08-01,414.790591243781
1997-09-01,393.1915675558312
1997-10-01,409.47176142414855
1997-11-01,403.88206331478045
1997-12-01,485.038484882571
1998-01-01,364.1130695679012
1998-02-01,356.9685318641976
1998-03-01,403.9888362839506
1998-04-01,411.8118355856966
1998-05-01,428.0097314268143
1998-06-01,426.9272282678132
1998-07-01,419.749088737745
1998-08-01,417.1515362913096
1998-09-01,402.0955699694189
1998-10-01,423.3553893471628
1998-11-01,419.9054158074345
1998-12-01,508.43227462287103
1999-01-01,376.0373506982392
1999-02-01,381.0834085367335
1999-03-01,439.6247438106796
1999-04-01,430.7897695840868
1999-05-01,450.1564273012048
1999-06-01,448.9583456626505
1999-07-01,447.3789112897421
1999-08-01,452.8728899341711
1999-09-01,432.58072818831937
1999-10-01,436.5411802379536
1999-11-01,450.0850706769596
1999-12-01,546.2505267654028
2000-01-01,397.23113038393376
2000-02-01,420.3594098941176
2000-03-01,466.90753135672514
2000-04-01,440.17555872440016
2000-05-01,473.4645710630841
2000-06-01,466.1190434146342
2000-07-01,445.4164404748119
2000-08-01,469.1809732599884
2000-09-01,441.6190211059907
2000-10-01,443.6493534330074
2000-11-01,455.4908235935706
