,sales_amount
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,338.502634895258
1992-09-01,338.59848224895836
1992-10-01,339.07337295756344
1992-11-01,340.26338858486565
1992-12-01,341.4457121220181
1993-01-01,342.6048254165093
1993-02-01,343.89621692751143
1993-03-01,345.2415568952554
1993-04-01,346.5288877176091
1993-05-01,347.50020051840204
1993-06-01,348.81397514004004
1993-07-01,350.6402780204928
1993-08-01,351.92601426451404
1993-09-01,353.12354836892223
1993-10-01,355.35102007609026
1993-11-01,357.5707849046116
1993-12-01,359.05645679922713
1994-01-01,360.80893875279787
1994-02-01,362.19469839195676
1994-03-01,363.7683074092668
1994-04-01,365.9492052225777
1994-05-01,367.8346723401264
1994-06-01,369.6085112804068
1994-07-01,371.3475179925993
1994-08-01,372.96833646731017
1994-09-01,374.1165786234444
1994-10-01,374.8237025142515
1994-11-01,375.17154253506874
1994-12-01,376.01391096354416
1995-01-01,377.4726469044499
1995-02-01,378.5456523901337
1995-03-01,379.4862303067931
1995-04-01,380.26500286039334
1995-05-01,380.578903121445
1995-06-01,381.0112460249934
1995-07-01,381.41468559911704
1995-08-01,381.868542647352
1995-09-01,383.5212840998739
1995-10-01,385.1557620622317
1995-11-01,386.41853244388676
1995-12-01,388.1301345793279
1996-01-01,388.96647785479723
1996-02-01,389.7000320864686
1996-03-01,390.9036558359053
1996-04-01,391.47720957725414
1996-05-01,392.59049558585923
1996-06-01,393.9100309172618
1996-07-01,394.4186583266526
1996-08-01,395.311787094617
1996-09-01,395.9558788371337
1996-10-01,396.4322699278265
1996-11-01,397.19157782008415
1996-12-01,397.50116473497644
1997-01-01,397.94052517892055
1997-02-01,398.89730569326576
1997-03-01,399.7509956438026
1997-04-01,400.62933546111634
1997-05-01,401.5879486815047
1997-06-01,401.91827343882596
1997-07-01,402.5620183031356
1997-08-01,403.4773530291153
1997-09-01,403.97817704082865
1997-10-01,404.3170804625788
1997-11-01,405.25456775889216
1997-12-01,406.56656336950834
1998-01-01,408.0256135108748
1998-02-01,409.41197850796544
1998-03-01,409.9269385565829
1998-04-01,410.3963113674628
1998-05-01,411.3457959648212
1998-06-01,412.5919201488074
1998-07-01,414.2343010751804
1998-08-01,415.70588736145703
1998-09-01,417.2075189365768
1998-10-01,419.69713494487945
1998-11-01,421.9727116750928
1998-12-01,423.686237919792
1999-01-01,425.5269801393431
1999-02-01,427.5961859704612
1999-03-01,430.2358183119137
1999-04-01,432.9944229728204
1999-05-01,434.81404585239085
1999-06-01,436.6209394257374
1999-07-01,439.4541855512398
1999-08-01,441.9130202107492
1999-09-01,444.4325944208775
1999-10-01,447.20587729185365
1999-11-01,448.7337346537853
1999-12-01,450.0959818580434
2000-01-01,451.7821835877877
2000-02-01,452.41544304349827
2000-03-01,453.01317689811856
2000-04-01,454.0692759082639
2000-05-01,454.74204532962744
2000-06-01,455.26345891761343
2000-07-01,454.82153920302795
2000-08-01,454.5373918684786
2000-09-01,454.09116199424363
2000-10-01,452.6778032648318
2000-11-01,452.2659644549184
2000-12-01,452.57869243843857
2001-01-01,452.50532987371264
2001-02-01,452.3215603156566
2001-03-01,452.4968792999309
2001-04-01,451.63140109029587
2001-05-01,451.7136522279859
2001-06-01,453.18209639270765
2001-07-01,453.5391360100774
2001-08-01,453.59768216572144
2001-09-01,453.7901210857247
2001-10-01,453.9232423203623
2001-11-01,454.24804160705924
2001-12-01,454.53259772907325
2002-01-01,454.31189200823087
2002-02-01,454.95915039263195
2002-03-01,456.2839164239026
2002-04-01,457.2390070917281
2002-05-01,456.946313932242
2002-06-01,455.87667569346627
2002-07-01,455.7735449520792
2002-08-01,456.35713000275297
2002-09-01,456.61533439769323
2002-10-01,456.461014404922
2002-11-01,456.6511654373543
2002-12-01,457.20203270858417
2003-01-01,457.9497703973502
2003-02-01,458.86664182566744
2003-03-01,459.46475735775914
2003-04-01,460.4896264163681
2003-05-01,462.0239054790668
2003-06-01,462.881837876301
2003-07-01,464.0247065906107
2003-08-01,465.31119756083496
2003-09-01,466.8505543187988
2003-10-01,469.3112378454191
2003-11-01,471.4855544124513
2003-12-01,472.8025667958633
2004-01-01,473.94570434254194
2004-02-01,475.1370409925699
2004-03-01,475.76078628916014
2004-04-01,476.62891446220874
2004-05-01,477.7225461197216
2004-06-01,478.8847040968659
2004-07-01,480.79973511011286
2004-08-01,482.1295248799385
2004-09-01,482.6310281716409
2004-10-01,483.52095716498116
2004-11-01,484.6991532686428
2004-12-01,485.69507731482923
2005-01-01,487.51548689733113
2005-02-01,489.7654585318079
2005-03-01,491.7443961697202
2005-04-01,493.11784063183984
2005-05-01,493.53225830830525
2005-06-01,494.18361631269164
2005-07-01,494.9694035706055
2005-08-01,496.047050494778
2005-09-01,497.33225442713467
2005-10-01,498.4321735636255
2005-11-01,499.2749336750022
2005-12-01,500.40094079161804
2006-01-01,501.3074303105292
2006-02-01,501.0624568634955
2006-03-01,501.13443726497894
2006-04-01,501.74163642424696
2006-05-01,502.4420296526441
2006-06-01,503.20494696351955
2006-07-01,503.55167589784946
2006-08-01,503.7641926694133
2006-09-01,504.02211584606334
2006-10-01,504.11502199667495
2006-11-01,503.98048117314204
2006-12-01,504.22789746932494
2007-01-01,504.5516317771922
2007-02-01,504.47516200412895
2007-03-01,504.7249844671004
2007-04-01,504.7991203744227
2007-05-01,505.0719041065116
2007-06-01,505.78580665444474
2007-07-01,505.5567786298992
2007-08-01,505.01576820851676
2007-09-01,505.3670580011293
2007-10-01,504.82999169169125
2007-11-01,503.70009250325796
2007-12-01,502.85115886214476
2008-01-01,501.3097905299338
2008-02-01,499.9204368858335
2008-03-01,497.9250969767529
2008-04-01,495.2382827432948
2008-05-01,492.1335471183588
2008-06-01,487.347323007649
2008-07-01,481.9597176177324
2008-08-01,477.36872776091093
2008-09-01,472.6171253500227
2008-10-01,467.2769752003179
2008-11-01,462.3485691993046
2008-12-01,457.22284421123527
2009-01-01,452.57641530680564
2009-02-01,449.02708021016076
2009-03-01,445.8914585118599
2009-04-01,443.2296875257009
2009-05-01,441.33128760585777
2009-06-01,440.6361755300983
2009-07-01,440.95910318152914
2009-08-01,441.220698996005
2009-09-01,441.4184937331788
2009-10-01,443.2293918181566
2009-11-01,445.8267418160791
2009-12-01,447.6142927100704
2010-01-01,448.87443399470317
2010-02-01,449.9376825025879
2010-03-01,450.6678329427672
2010-04-01,451.9022170690207
2010-05-01,453.55423976520734
2010-06-01,455.4923774245807
2010-07-01,457.88603887416525
2010-08-01,459.89118159333486
2010-09-01,461.86373383700607
2010-10-01,463.8580655009713
2010-11-01,465.48023904385354
2010-12-01,466.954927668466
2011-01-01,468.65696787115155
2011-02-01,470.12749077034414
2011-03-01,471.68208319136227
2011-04-01,473.54043086797935
2011-05-01,474.9973624375965
2011-06-01,476.3094886353168
2011-07-01,477.57845144583325
2011-08-01,478.622511211981
2011-09-01,480.39143455810114
2011-10-01,482.5371485434131
2011-11-01,483.5117612852442
2011-12-01,484.6900747020267
2012-01-01,485.94090358733825
2012-02-01,486.45893968962633
2012-03-01,487.60831865305624
2012-04-01,488.5918974975275
2012-05-01,489.38048797943304
2012-06-01,490.641126143289
2012-07-01,491.2911953091377
2012-08-01,492.0577041646373
2012-09-01,492.4640753615633
2012-10-01,492.14727961144376
2012-11-01,492.70454930105416
